index,reason,frame_ms,update_ms,draw_ms,combat_ms,draw_section,combat_draw_section,draw_ground_ms,draw_combat_ms,draw_player_ms,draw_ui_ms,cd_projectiles_ms,cd_enemies_ms,cd_blades_ms,cd_dongfeng_tele_ms,cd_dongfeng_wave_ms,cd_vfx_ms,enemies,projectiles,vfx
1,Draw,16.7526,0.288,9.4241,0.1254,Ground,Unknown,8.6668,0.0918,0,0.5424,0,0,0,0,0,0,5,0,15
2,Draw,16.9623,0.3096,8.9686,0.2015,Ground,Unknown,7.9515,0.1038,0,0.7853,0,0,0,0,0,0,4,1,13
3,Draw,17.0201,0.163,8.6588,0.0634,Ground,Unknown,2.1285,0.0426,0,1.2668,0,0,0,0,0,0,4,2,0
4,Draw,103.99,0.3612,103.695,0.3088,Ground,Unknown,102.815,0.0278,0,0.1856,0,0,0,0,0,0,4,2,0
5,Draw,16.668,0.2657,8.029,0.1208,Ground,Unknown,6.0456,0.4926,0,1.294,0,0,0,0,0,0,1,0,3
6,Draw,16.6676,0.1774,11.8314,0.0935,Ground,Unknown,10.7075,0.2183,0,0.7798,0,0,0,0,0,0,0,0,11
7,Draw,16.9722,0.1488,8.6049,0.0587,Ground,Unknown,7.339,0.3407,0,0.8022,0,0,0,0,0,0,1,0,2
8,Draw,16.9455,0.6744,9.7123,0.5548,Ground,Unknown,8.1335,0.0336,0,0.5393,0,0,0,0,0,0,1,15,0
9,Draw,16.6679,0.2797,8.6656,0.1922,Ground,Unknown,5.8135,0.0421,0,1.284,0,0,0,0,0,0,1,9,0
10,Draw,16.6673,0.4353,10.8493,0.3575,Ground,Unknown,10.3242,0.0298,0,0.4182,0,0,0,0,0,0,1,25,12
